Index;Tweet;Tanggal;Jumlah Retweet;Username;;;
1;kawal yuk teman2 medical beau;25/03/2021 14:42;0;drjeffaloys;;;bot
2;update kasus covid-19 indonesia kamis 25 maret 2021 via;25/03/2021 14:22;1;holopiscom;;;bot
3;sobat polri ayo cegah tular covid-19 jaga jarak kita hindar virus covid-19;25/03/2021 12:53;0;PatikrajaPolsek;;;bot
4;negative report mandatory for entering bengaluru from april 1;25/03/2021 12:45;15;ndtv;;;bot
5;kalo mimpi ketemu toilet jangan coba masuk deh kalo udah lanjur masuk jangan coba nerusin seriu;25/03/2021 11:58;0;idamaannn;;;bot
6;akhbar pilih harga jatuh sindiket gelojoh baca lanjut pa;25/03/2021 11:50;2;PDRMsia;;;bot
7;update data kembang virus corona covid-19 25 maret 2021 satgascovid19;25/03/2021 11:30;0;RakyatMerdeka99;;;bot
8;sobat polri ayo cegah tular covid-19 jaga jarak kita hindar virus covid-19;25/03/2021 11:20;0;polsek_ceper;;;bot
9;travelling to bengaluru from punjab chandigarh negative covid-19 report must;25/03/2021 11:15;0;MaaeraHolidays;;;bot
10;instruksi bupati sleman baru guru tinggi selenggara kuliah tatap muka masa pandemi;25/03/2021 11:01;0;ayoyogyacom;;;bot
11;pt angkasa pura i persero selenggara vaksinasi covid-19 hadap 856 covid19;25/03/2021 10:59;0;ayoyogyacom;;;
12;hari banyak 16 juta bahan baku vaksin covid-19 merk coronavac buat sinovac biotech tiba indonesia;25/03/2021 10:59;0;ayoyogyacom;;;
13;pemkot jogja tengah susun ulang atur kait giat ajar ajar kbm tatap muka covid19;25/03/2021 10:59;0;ayoyogyacom;;;
14;hingga ini 25 dagang malioboro ikut vaksinasi covid-19 covid19;25/03/2021 10:58;0;ayoyogyacom;;;
15;perempuan lebih mungkin alami efek samping terima vaksin covid-19 banding laki;25/03/2021 10:58;0;ayoyogyacom;;;
16;lap kluster baharu kes hari masuk tujuh libat tempat kerja - kp kesihatan;25/03/2021 10:54;4;bernamadotcom;;;
17;covid-19 in karnataka rt-pcr negative certificates mandatory for people coming to bengaluru bsybjp;25/03/2021 10:54;0;fpjindia;;;bot
18;gaiter loops auaaq balaclava bandanas - coronavirus;25/03/2021 10:22;0;purdyme123;;;bot
19;lanjut ica hari mertua vaksinasi alami stroke kondisi rahang miring ki;25/03/2021 10:07;0;poskotaofficial;;;bot
20;rektor unp positif covid-19 vaksinasi intensif kampus air tawar;25/03/2021 09:28;0;beritaminangcom;;;bot
21;status kini task force operasi patuh pdrm baca lanjut paut;25/03/2021 09:25;2;PDRMsia;;;bot
22;ki ni mangwani yh py paisa lga k awam ko shifa dna ha aur;25/03/2021 08:25;0;sayeed_akbar;;;bot
23;public speaking butuh sampai informasi cara efisien akurat efektif dengar mampu menangk;25/03/2021 08:18;1;OfficialSekolah;;;bot
24;suntik 9 juta vaksin covid-19 wamenkes dampak lihat - beritasatu;25/03/2021 07:48;0;beritacovid;;;bot
25;pasien covid-19 rawat rsd wisma atlet mayor per 25 maret 2021 -;25/03/2021 07:48;0;beritacovid;;;
26;bansos covid-19 kpk panggil sekjen kemensos dirjen linjamsos - - nasional;25/03/2021 07:48;0;beritacovid;;;
27;tahun the media hotel and towers jadi posko tenaga medis covid-19 -;25/03/2021 07:48;0;beritacovid;;;
28;patut syukur indonesia cepat vaksin covid-19 - - nasional;25/03/2021 07:48;0;beritacovid;;;
29;catat angka mati hari tinggi akibat covid-19 - - pikir rakyat;25/03/2021 07:48;0;beritacovid;;;
30;budi bicara soal khawatir vaksinasi covid - cnbc indonesia;25/03/2021 07:48;0;beritacovid;;;
31;tangan covid-19 mungkin besar mudik lebaran larang - bisnis;25/03/2021 07:48;0;beritacovid;;;
32;covid-19 akibat senjang sosial perempuan makin nyata -;25/03/2021 07:48;0;beritacovid;;;
33;vaksin covid-19 tahap tujuh - beritasatu;25/03/2021 07:48;0;beritacovid;;;
34;klaim indonesia registrasi obat covid-19 buat 4 hari sembuh -;25/03/2021 07:48;0;beritacovid;;;
35;covid b117 duga masuk garut -;25/03/2021 07:48;0;beritacovid;;;
36;mutasi ganda covid-19 temu india - okezone;25/03/2021 07:48;0;beritacovid;;;
37;3 upaya ojk tangan dampak pandemik covid-19 -;25/03/2021 07:48;0;beritacovid;;;
38;aktor bollywood aamir khan positif covid-19 -;25/03/2021 07:48;0;beritacovid;;;
39;vaksinasi covid dagang pasar jemput paksa tenaga sehat polisi - inews;25/03/2021 07:48;0;beritacovid;;;
40;wna vaksinasi covid-19 sanur bal pakai vaksin astrazeneca - jawa pos;25/03/2021 07:48;0;beritacovid;;;
41;vaksinasi covid-19 tni al tahap akhir jakarta -;25/03/2021 07:48;0;beritacovid;;;
42;tim grup b piala menpora jalan vaksinasi covid-19 -;25/03/2021 07:48;0;beritacovid;;;
43;malioboro ingat jalan vaksinasi covid-19 -;25/03/2021 07:48;0;beritacovid;;;
44;wakil bupati mamuju telat vaksin covid-19 - -;25/03/2021 07:48;0;beritacovid;;;
45;modus tipu lowong kerja bayar tengah pandemi covid-19 - okezone;25/03/2021 07:48;0;beritacovid;;;
46;mark sungkar positif covid-19 - inews;25/03/2021 07:48;0;beritacovid;;;
47;sedia layan vaksin covid-19 klinik pratama makmur jaya ciputat pamulang bintaro isi data pad;25/03/2021 07:37;0;KMakmurJaya;;;bot
48;kerala;25/03/2021 07:34;0;anafran_mussic;;;
49;kenya;25/03/2021 07:33;1;anafran_mussic;;;
50;segera daftar kuota 300 ribu prakerja;25/03/2021 07:33;0;tribunpontianak;;;bot
51;sobat polri ayo cegah tular covid-19 jaga jarak kita hindar virus covid-19;25/03/2021 07:33;0;KotaPtk;;;bot
52;program imunisasi covid-19 bangsa tan sri dato haji muhyiddin bin haji muhammad yassin perdana menteri malay;25/03/2021 07:04;0;mat4g13;;;bot
53;innahhh da;25/03/2021 07:01;0;Biiii162;;;
54;lansia jangan takut vaksin warga bogor usia 104 tahun sehat pasca suntik vaksin;25/03/2021 06:45;0;RakyatMerdeka99;;;bot
55;mantap 16 juta dosis vaksin covid sinovac tiba tanah air vaksin;25/03/2021 06:42;0;RakyatMerdeka99;;;
56;umbono lingayekethisi icovid-19 isesekhona;25/03/2021 06:25;0;UMthunywa;;;bot
57;umum panjang ppkm mikro sesuai instruksi gubernur diy no 8 instr 2021 ppkm mikro panjang m;25/03/2021 06:17;5;humas_jogja;;;bot
58;panjang ppkm mikro brebes laku 5 april 2021 ppkm;25/03/2021 05:47;0;bmnzone;;;bot
59;seni hibur boleh laksana buah hajat giat sosial masyarakat adala;25/03/2021 05:24;0;inewsdotid;;;bot
60;wakil presiden ma ruf amin imbau masyarakat jalan ibadah rumah lama ramadan langkah harus;25/03/2021 05:14;0;lampostco;;;bot
61;italia vs irlandia utara tak gentar sama badai corona italy;25/03/2021 04:54;1;RakyatMerdeka99;;;bot
62;laksana sambang pos sarlinmas pantai congot kulonprogo personel ditpolair polda diy ajak tugas untu;25/03/2021 04:42;1;PoldaJogja;;;bot
63;kapolda diy irjen pol drs asep suhendar hadir tanding pertama piala menpora;25/03/2021 04:41;1;PoldaJogja;;;bot
64;kamu malas hanya buang buang waktu kamu tak tahu bagaimana cara raih peluang bahkan pel;25/03/2021 04:34;2;OfficialSekolah;;;bot
65;survei idm pepet pdip golkar kian moncer jelang milu 2024 fraksigolkar;25/03/2021 04:32;1;RakyatMerdeka99;;;bot
66;ratus napi nusakambangan positif covid-19 isolasi lapas via;25/03/2021 04:23;1;holopiscom;;;bot
67;tahan lama pandemi bappenas dorong usaha laku digitalisasi bappenasri;25/03/2021 04:15;1;RakyatMerdeka99;;;bot
68;vaksin covid-19 anak tunggu rekomendasi vaksin;25/03/2021 04:13;1;RakyatMerdeka99;;;bot
69;sambang kawasan toko jl am sangaji jetis kota yogyakarta personel patroli polsek jetis polresta yogyakar;25/03/2021 04:11;0;POLSEK_JTJOGJA;;;bot
70;nu harap semua orang mau vaksin nahdlatululama;25/03/2021 04:11;1;RakyatMerdeka99;;;bot
71;prokes 5m dagang unjung pasar bagi masker giat bagai upaya mendi;25/03/2021 03:53;0;POLSEK_JTJOGJA;;;bot
72;sobat polri ayo cegah tular covid-19 jaga jarak kita hindar virus covid-19;25/03/2021 03:53;0;humaskintap;;;bot
73;sobat polri ayo cegah tular covid-19 jaga jarak kita hindar virus covid-19;25/03/2021 03:27;0;Humas_korbrimob;;;bot
74;sobat polri ayo cegah tular covid-19 jaga jarak kita hindar virus covid-19;25/03/2021 03:24;1;humaspolreswk;;;bot
75;naik 0 09 usd 1 182 gerak turun dorong tunda amp gelombang 3 m;25/03/2021 03:11;0;phillipfutures;;;bot
76;us index naik 0 03 level 92 55 ini di level tinggi akibat optimisme ak;25/03/2021 03:06;0;phillipfutures;;;
77;di-pertuan agong zahir rasa bangga warga pdrm atas korban bagai tugas baris hadap;25/03/2021 02:24;5;bernamadotcom;;;bot
78;katno had dukung sukses program vaksin covid-19;25/03/2021 02:21;0;HadiKatno;;;bot
79;sobat polri ayo cegah tular covid-19 jaga jarak kita hindar virus covid-19;25/03/2021 02:13;0;res_bna;;;bot
80;top news koran rakyat merdeka vaksinasi covid juta hari mimpi jokowi;25/03/2021 01:35;1;RakyatMerdeka99;;;bot
81;sobat polri ayo cegah tular covid-19 jaga jarak kita hindar virus covid-19;25/03/2021 01:29;0;polsekwedi;;;bot
82;vaksin astrazeneca selamat di malaysia;25/03/2021 01:22;0;bernamaradio;;;bot
83;top news koran rakyat merdeka ragu terap protokol sehat jaga pemprov tolak buka 26 tempat karaoke;25/03/2021 00:50;2;RakyatMerdeka99;;;bot
84;polri ayo cegah tular covid-19 jaga jarak a;25/03/2021 00:41;0;POLSEKBANJARNE1;;;bot
85;top news koran rakyat merdeka bule langgar prokes bal dah langsung pulangin negara asal aja bal;25/03/2021 00:20;2;RakyatMerdeka99;;;bot
86;top news koran rakyat merdeka soal sekolah tatap muka putus pekan depan satgascovid19;25/03/2021 00:10;2;RakyatMerdeka99;;;bot
87;update data covid19 sulawesi barat tanggal 24 maret 2021 total sulbar positif 5358 sembuh 4980 tinggal 1;25/03/2021 00:09;1;dinkes_sulbar;;;bot
88;taat prokes keren jauh kerumun kurang mobilitas polresjogja;25/03/2021 00:05;0;POLSEK_JTJOGJA;;;bot
89;;;;;;;
90;update kasus per tanggal 9 april 2021 website;09/04/2021 14.44;0;kominfokaltim;;bot;
91;personel jaga pos polairud congot bripka catur widodo s h sama bripka agung h hadir panen raya kete;09/04/2021 14.28;0;PoldaJogja;;bot;
92;kisne kaha tha 2021 me shadiyan km hongi ek bar lockdown hone do taara chadne wala hai covid;09/04/2021 14.14;0;Ayu_yunique;;bot;
93;330 perosonil polres vaksin kunjung;09/04/2021 14.11;0;prokabar;;bot;
94;patuh protokol sehat 5m polresjogja;09/04/2021 13.50;0;POLSEK_JTJOGJA;;bot;
95;tetep gumegrah ojo serah bebarengan lawan covid-19 kanthi patuh protokol sehat 5m polresjogja;09/04/2021 13.47;0;POLSEK_JTJOGJA;;;
96;pakai masker lindung virus covid-19 polresjogja;09/04/2021 13.34;0;POLSEK_JTJOGJA;;;
97;kini task force operasi patuh pdrm baca lanjut paut;09/04/2021 12.45;1;PDRMsia;;bot;
98;salam santun sebar kasus positif covid-19 indonesia per tgl 09 apr;09/04/2021 11.43;1;Hadi_VIP99;;bot;
99;19 yongereye ihungabana mu barokotse jenoside mu;09/04/2021 10.49;0;RadiyoyacuVOA;;bot;
100;sapa masyarakat jumpa tidak lupa himbauan kamtibmas protokol sehat;09/04/2021 10.27;0;POLSEK_JTJOGJA;;;
101;akibat makin kembang teknologi ini individualisme makin jamur hati tiap orang;09/04/2021 10.18;2;OfficialSekolah;;bot;
102;sobat jak moga semua segera gilir vaksinasi covid-19 ingat atau ses;09/04/2021 10.13;0;JaktvCom;;bot;
103;perintah terap bijak kendali pandemi pulih ekonomi cara imbang;09/04/2021 10.07;0;KabarSiang;;bot;
104;update data kembang virus corona covid-19 9 april 2021 satgascovid19;09/04/2021 09.51;2;RakyatMerdeka99;;bot;
105;in ai tempi del;09/04/2021 09.18;0;MarcoImbrogno1;;bot;
106;kait temu varian baru covid-19 e484k satgas minta warga tak panik via;09/04/2021 08.24;0;keepstron9;;bot;
107;plaza tawar layan medical check up screening covid-19 -;09/04/2021 07.48;0;beritacovid;;bot;
108;ji ah beri sumbang para siswa dampak pandemi covid-19 - -;09/04/2021 07.48;0;beritacovid;;;
109;kurang negara dunia rebut vaksin lawan covid-19 - internasional kontan;09/04/2021 07.48;0;beritacovid;;;
110;juang tes covid sulit cari pcr murah kualitas -;09/04/2021 07.48;0;beritacovid;;;
111;warga laku ziarah kubur tpu khusus jenazah covid-19 -;09/04/2021 07.48;0;beritacovid;;;
112;pegawai positif covid-19 bank sumut cabang tebing tinggi tutup -;09/04/2021 07.48;0;beritacovid;;;
113;covid-19 mantan gubernur sumsel mahyudin tinggal dunia -;09/04/2021 07.48;0;beritacovid;;;
114;hari covid-19 aceh tingkat positif baru 42 orang -;09/04/2021 07.48;0;beritacovid;;;
115;transparansi sedia informasi vaksinasi covid-19 - viva -;09/04/2021 07.48;0;beritacovid;;;
116;luncur produk baru proteksi covid-19 bantu tangan pandemi - kontan;09/04/2021 07.48;0;beritacovid;;;
117;protokol covid maling mobil bikin polisi jadi bahan cemooh -;09/04/2021 07.48;0;beritacovid;bot;;
118;sekolah tatap muka 10 000 lebih guru tangerang vaksin covid - inews;09/04/2021 07.48;0;beritacovid;;;
119;sepeda aman lama pandemi covid-19 - medcom id;09/04/2021 07.48;0;beritacovid;;;
120;yogyakarta wajib bawa hasil tes covid-19 - kompas tv;09/04/2021 07.48;0;beritacovid;;;
121;luncur program masjid jadi sentra vaksin covid-19 - republika online;09/04/2021 07.48;0;beritacovid;;;
122;psk brasil laku demo harus prioritas vaksin covid-19 - kompas tv;09/04/2021 07.48;0;beritacovid;;;
123;wajo kurang 23 ribu vaksin covid-19 - sindonews makassar;09/04/2021 07.48;0;beritacovid;;;
124;pemkot tangerang tetap vaksinasi covid-19 lama ramadan -;09/04/2021 07.48;0;beritacovid;;;
125;pon papua 2021 atlet wasaka ikut vaksinasi covid-19 dosis pertama - banjarmasin post;09/04/2021 07.48;0;beritacovid;;;
126;ajar sma positif covid-19 uji coba sekolah tatap muka sman 1 leuwiliang henti - kompas tv;09/04/2021 07.48;0;beritacovid;;;
127;kasus covid-19 besar 6 3 persen 5 provinsi tangsel angka paling tinggi - kompas tv;09/04/2021 07.48;0;beritacovid;;;
128;teroris jakarta bansos covid-19 punya jatah 2 bulan -;09/04/2021 07.48;0;beritacovid;;;
129;personel polisi kerah cegah arus mudik tengah pandemi covid-19 - okezone;09/04/2021 07.48;0;beritacovid;;;
130;covid-19 bikin penis bisa diri fakta - viva -;09/04/2021 07.48;0;beritacovid;;;
131;bagai guru bisa tahu karakter tiap murid bahkan juga bangun karakter murid supa;09/04/2021 07.42;2;OfficialSekolah;bot;;
132;tetap hati waspada peka hadap situasi lingkung dan kalah penting selalu taat;09/04/2021 07.29;0;POLSEK_JTJOGJA;bot;;
133;terima blt blt umkm 2020 dapat tahun umkm;09/04/2021 07.20;0;infoberita23;bot;;
134;waspada virus covid 19 mutasi kali jadi virus eek via;09/04/2021 06.43;0;holopiscom;bot;;
135;dek kalok keluar rumah jangan lupa pake masker visual covid-19 masker dipake sehat;09/04/2021 06.35;0;Sahrelgunawan1;bot;;
136;duta besar inggris indonesia owen jenkins dukung indonesia jaga peran alam tumbuh ekonomi;09/04/2021 06.32;2;RakyatMerdeka99;bot;;
137;kemenag pandu ibadah ramadhan 2021 tak laku zona oranye merah kemenag ri;09/04/2021 06.17;3;RakyatMerdeka99;;;
138;menag belum vaksin covid bisa umroh kemenag ri;09/04/2021 06.12;3;RakyatMerdeka99;;;
139;kembang sebar pandemi covid-19 lampung selatan terus tunjuk arah lebih baik dengan menu;09/04/2021 04.53;0;lampungpostid;bot;;
140;mui keluar fatwa baru guna alat deteksi covid-19 lama jalan ibadah puasa ramadan bac;09/04/2021 04.10;0;inewsdotid;bot;;
141;sanksi tegas lho buat langgar larang mudik mudik mudik;09/04/2021 03.51;0;bilaresya;bot;;
142;sanksi tegas lho buat langgar larang mudik mudik mudik;09/04/2021 03.50;0;hilmifahrezi1;bot;;
143;selalu sedia hand sanitizer mana pergi supaya ga tular covid 19 hand sanitizer sanitize plus cair;09/04/2021 03.20;0;shoeforiastore;bot;;
144;cipta masyarakat produktif sehat vaksinasi covid-19 guys kamu beraktifitas sepe;09/04/2021 03.19;0;tolis_res;bot;;
145;allah moga ramadhan wabah covid19 segera selesai kami semua ibadah puasa denga;09/04/2021 03.11;1;kitapeduliyatim;;bot;
146;tangan mental masyarakat tengah pandemi komisi ix dpr minta menteri bgs sedia psikolog puskesmas;09/04/2021 02.48;2;RakyatMerdeka99;;bot;
147;jaga diri jaga keluarga vaksin covid-19 covid;09/04/2021 02.32;0;adzkianjani;;bot;
148;covid observer nikunj bihari dhal visits jharsuguda reviews the situation viraljharsuguda;09/04/2021 02.16;0;ViralJharsuguda;;bot;
149;buka tara akses vaksinasi sandang disabilitas;09/04/2021 02.01;0;KabarSiang;;bot;
150;top news koran rakyat merdeka soal larang mudik pak jokowi puan nanduk tuh pdi juang;09/04/2021 02.00;1;RakyatMerdeka99;;;
151;cipta masyarakat produktif sehat vaksinasi covid-19 guys kamu beraktifitas sepe;09/04/2021 01.10;0;ResorPati;;bot;
152;cegah mudik pandemi layan transportasi bakal larang operasi 12 hari mudik;09/04/2021 01.10;0;RakyatMerdeka99;;;
153;shalat tarawih urus masjid wajib jemaah taat prokes masjid;09/04/2021 01.00;0;RakyatMerdeka99;;;
154;seameo biotrop teliti minyak atsiri harap kontribusi atas pandemi covid-19 covid covid19;09/04/2021 00.58;1;deskjabar;;bot;
155;cek terima lihat cara syarat daftar blt umkm 1 2jt umkm;09/04/2021 00.23;0;infoberita23;;bot;
156;top news koran rakyat merdeka umum partai komunis china pecat jabat becus kendali covid-19 china;09/04/2021 00.20;0;RakyatMerdeka99;;;
157;top news koran rakyat merdeka siang suntik malam hari vaksinasi tak batal puasa sambi;09/04/2021 00.15;0;RakyatMerdeka99;;;
158;top news koran rakyat merdeka gegara embargo vaksin covid-19 vaksinasi telat bulan buka wisata molor;09/04/2021 00.10;0;RakyatMerdeka99;;;
159;top news koran rakyat merdeka 40 persen terjun bebas dompet kerja bal tipis lama pandemi;09/04/2021 00.05;0;RakyatMerdeka99;;;
160;india lapor rekor lonjak kasus baru covid-19 negara tembus angka 126 789 kamis 8 4 sim;08/04/2021 23.26;0;Genpi_Co;;bot;
161;menteri sehat budi gunadi sadikin imbau masyarakat indonesia waspada sakit tbc tengah pandem;08/04/2021 23.10;0;Genpi_Co;;;
162;asha chalavnar var gelyavar jode khal sh;08/04/2021 19.21;0;ayoyogyacom;;bot;
163;kantor kemenag bantul beri izin warga gelar buka puasa sama halalbihalal salat tarawih ber;08/04/2021 19.02;0;ayoyogyacom;;;
164;dinkes diy sebut sekitar 300 ribu laku umkm diy covid19;08/04/2021 19.02;0;ayoyogyacom;;;
165;dinkes bantul sebut minat warga terima vaksinasi hitung tinggi sedia vaksin sinova;08/04/2021 19.01;0;ayoyogyacom;;;
166;dinkes diy laksana vaksinasi lama ramadan maksimal pagi hari covid19;08/04/2021 19.01;0;ayoyogyacom;;;
167;dinkes diy catat vaksinasi lansia wilayah capai 37 864 orang dosis pertama covid19;08/04/2021 19.01;0;ayoyogyacom;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;drjeffaloys;1;;
;;;;;;;
;;;;PatikrajaPolsek;1;;
;;;;ndtv;1;;
;;;;idamaannn;1;;
;;;;;;;
;;;;;;;
;;;;polsek_ceper;1;;
;;;;MaaeraHolidays;1;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;fpjindia;1;;
;;;;purdyme123;1;;
;;;;poskotaofficial;1;;
;;;;beritaminangcom;1;;
;;;;;;;
;;;;sayeed_akbar;1;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;KMakmurJaya;1;;
;;;;;;;
;;;;anafran_mussic;1;;
;;;;tribunpontianak;1;;
;;;;KotaPtk;1;;
;;;;mat4g13;1;;
;;;;Biiii162;1;;
;;;;;;;
;;;;;;;
;;;;UMthunywa;1;;
;;;;humas_jogja;1;;
;;;;bmnzone;1;;
;;;;;;;
;;;;lampostco;1;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;humaskintap;1;;
;;;;Humas_korbrimob;1;;
;;;;humaspolreswk;1;;
;;;;;;;
;;;;phillipfutures;1;;
;;;;bernamadotcom;1;;
;;;;HadiKatno;1;;
;;;;res_bna;1;;
;;;;;;;
;;;;polsekwedi;1;;
;;;;bernamaradio;1;;
;;;;;;;
;;;;POLSEKBANJARNE1;1;;
;;;;;;;
;;;;;;;
;;;;dinkes_sulbar;1;;
;;;;;;;
;;;;;;;
;;;;kominfokaltim;1;;
;;;;PoldaJogja;1;;
;;;;Ayu_yunique;1;;
;;;;prokabar;1;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;PDRMsia;1;;
;;;;Hadi_VIP99;1;;
;;;;RadiyoyacuVOA;1;;
;;;;;;;
;;;;;;;
;;;;JaktvCom;1;;
;;;;;;;
;;;;;;;
;;;;MarcoImbrogno1;1;;
;;;;keepstron9;1;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;beritacovid;1;;
;;;;OfficialSekolah;1;;
;;;;POLSEK_JTJOGJA;1;;
;;;;;;;
;;;;holopiscom;1;;
;;;;Sahrelgunawan1;1;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;lampungpostid;1;;
;;;;inewsdotid;1;;
;;;;bilaresya;1;;
;;;;hilmifahrezi1;1;;
;;;;shoeforiastore;1;;
;;;;tolis_res;1;;
;;;;kitapeduliyatim;1;;
;;;;;;;
;;;;adzkianjani;1;;
;;;;ViralJharsuguda;1;;
;;;;KabarSiang;1;;
;;;;;;;
;;;;ResorPati;1;;
;;;;;;;
;;;;;;;
;;;;deskjabar;1;;
;;;;infoberita23;1;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;Genpi_Co;1;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;ayoyogyacom;1;;
;;;;;62;;
